,fecha,tienda,categoría,id_producto,producto,marca,uds_en_paquete,uds,kg,precio_ud,precio_kg
0,2024-04-15,Mercadona,Verdura,p1,Lechuga iceberg,,,1.0,0.25,0.69,2.76
1,2024-04-15,Mercadona,Otros,p2,Chocolate 85%,,,1.0,,1.25,
2,2024-04-15,Mercadona,Verdura,p3,Ajo,,,1.0,0.25,1.65,6.6
3,2024-04-15,Mercadona,Conservas,p4,Sardinillas girasol,,2.0,1.0,0.13,1.5,11.54
4,2024-04-29,Mercadona,Conservas,p4,Sardinillas girasol,,2.0,1.0,0.13,1.5,11.538461538461538
5,2024-04-15,Mercadona,Conservas,p5,Atún al natural,,1.0,6.0,0.36,4.35,12.08
6,2024-04-29,Mercadona,Conservas,p5,Atún al natural,,1.0,6.0,0.36,4.35,12.083333333333332
7,2024-04-15,Mercadona,Otros,p6,Coco rallado,,,2.0,,1.1,
8,2024-04-15,Mercadona,Otros,p7,Panela,,,1.0,0.5,1.95,3.9
9,2024-04-15,Mercadona,Fruta,p8,Manzanas,,,1.0,,2.83,
10,2024-04-26,Mercao,Fruta,p8,Manzanas,,,,1.304,2.3472,1.8
11,2024-04-30,Mercadillo,Fruta,p8,Manzanas,,,,1.195,1.7925,1.5
12,2024-04-15,Mercadona,Pan y cereales,p9,Bollitos blancos,,11.0,1.0,,1.1,
13,2024-04-29,Mercadona,Pan y cereales,p9,Bollitos blancos,,11.0,1.0,,1.1,
14,2024-04-15,Mercadona,Frutos secos,p10,Semillas de calabaza,,,2.0,0.15,1.63,10.86
15,2024-04-29,Mercadona,Frutos secos,p10,Semillas de calabaza,,,2.0,0.15,1.63,10.866666666666667
16,2024-04-15,Mercadona,Lácteos,p11,Queso Gouda,,,1.0,0.4,3.3,8.249999999999998
17,2024-04-30,Día,Lácteos,p11,Queso Gouda,blanca,,2.0,0.8,3.19,7.98
18,2024-04-15,Mercadona,Frutos secos,p12,Almendras,,,1.0,0.2,2.05,10.249999999999998
19,2024-04-29,Mercadona,Frutos secos,p12,Almendras,,,2.0,0.2,2.05,10.249999999999998
20,2024-04-15,Mercadona,Lácteos,p13,Queso oveja,,,1.0,0.341,5.47,16.05
21,2024-04-29,Mercadona,Lácteos,p13,Queso oveja,,,,1.367,19.21,14.05
22,2024-04-15,Mercadona,Huevos,p14,Huevos camperos,,12.0,1.0,,2.62,
23,2024-04-26,Mercao,Huevos,p14,Huevos camperos,,6.0,1.0,,1.7,
24,2024-04-29,Mercadona,Huevos,p14,Huevos camperos,,12.0,1.0,,2.62,
25,2024-05-07,Obrador,Huevos,p14,Huevos camperos,,6.0,3.0,,1.8,
26,2024-04-15,Mercadona,Charcutería,p15,Jamón serrano,,,1.0,0.24,4.1,17.0
27,2024-04-30,Obrador,Charcutería,p15,Jamón serrano,,,,0.26,3.9,15.0
28,2024-05-07,Obrador,Charcutería,p15,Jamón serrano,,,,0.25,3.75,15.0
29,2024-04-15,Mercadona,Fruta,p16,Fresas,,,,2.6,4.8,2.4
30,2024-04-29,Mercadona,Fruta,p16,Fresas,,,,1.0,2.45,2.45
31,2024-05-07,Mercadillo,Fruta,p16,Fresas,,,,2.0,6.0,3.0
