,tienda,categoría,id_producto,producto,marca,uds_en_paquete,uds,kg,precio_ud,precio_kg
0,Aldi,Pan y cereales,p24,Cereales arroz choco,blanca,,1.0,0.5,2.15,4.3
1,Aldi,Pan y cereales,p25,Copos avena s/gluten,blanca,,2.0,1.0,2.79,2.79
2,Aldi,Pan y cereales,p26,Copos avena integral,blanca,,1.0,1.0,0.85,0.85
3,Carnicería,Carnes,p72,Panceta/bacon,-,,,0.56,4.424,7.9
4,Carnicería,Carnes,p73,Cinta lomo,-,,,1.4,11.06,7.9
5,Carnicería,Carnes,p74,Carne picada,-,,,1.055,7.174,6.8
6,Carnicería,Carnes,p75,Pollo entero cortado,-,,,2.525,8.96375,3.55
7,Carnicería,Carnes,p76,Hueso blanco,-,,,0.305,0.53375,1.75
8,Doña Chacina,Charcutería,p27,Mojama,-,,,0.22,8.8,40.0
9,Doña Chacina,Charcutería,p28,Maruca salada,-,,2.0,0.15,1.5,20.0
10,Día,Conservas,p93,Tomate conserva,blanca,,2.0,,1.4,
11,Día,Limpieza,p95,Limpia cristales,ecocleox,3.0,1.0,,3.19,
12,Día,Lácteos,p11,Queso Gouda,blanca,,2.0,0.8,3.19,7.98
13,Día,Lácteos,p96,Queso cabra,blanca,,1.0,0.55,7.79,14.16
14,Día,Pan y cereales,p97,Tortitas de maíz,blanca,,3.0,,1.29,
15,Día,Verdura,p92,Brocoli,-,,1.0,0.5,1.39,2.78
16,Día,Verdura,p94,Alcachofas cong.,blanca,,2.0,0.4,2.69,5.17
17,Herbolario,Frutos secos,p102,Semillas de chía,TODO,,1.0,0.25,3.85,15.4
18,Herbolario,Hierbas,p29,Desmodium,-,,1.0,0.05,3.1,62.0
19,Herbolario,Hierbas,p30,Diente de león,-,,1.0,0.05,1.75,35.0
20,Herbolario,Hierbas,p31,Espliego,-,,1.0,0.05,1.85,37.0
21,Herbolario,Hierbas,p32,Cardo Mariano,-,,1.0,0.1,2.1,21.0
22,Herbolario,Otros,p103,Psillyum,NaturGreen,,1.0,0.125,6.15,49.2
23,Mercadillo,Fruta,p106,Plátanos,-,,,0.595,0.952,1.6
24,Mercadillo,Fruta,p16,Fresas,-,,,2.0,6.0,3.0
25,Mercadillo,Fruta,p8,Manzanas,-,,,1.195,1.7925,1.5
26,Mercadillo,Verdura,p107,Cebollas,-,,,0.76,0.95,1.25
27,Mercadillo,Verdura,p108,Acelgas,-,,,0.69,1.104,1.6
28,Mercadillo,Verdura,p17,Zanahorias,-,,,0.51,1.275,2.5
29,Mercadillo,Verdura,p18,Calabacín,-,,,0.0,,0.0
30,Mercadillo,Verdura,p20,Coliflor,-,,,0.0,,0.0
31,Mercadillo,Verdura,p22,Naranjas,-,,,3.05,3.05,1.0
32,Mercadillo,Verdura,p23,Pepino,-,,,0.365,0.73,2.0
